player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dre Greenlaw,51503,LB,SF,1,3,0,100.0,0,0,28,0,0,60.4,35.4,74.0,,28.5,54.1,0,0,0,0,4,14.3,1,0,0,83.3,2,0,0,38,0,19,40,0,0,0,0,0,0,40,0,21,2,1,3,0,2,0,0,8,4,4.0
Khyiris Tonga,52000,DI,KC,1,1,0,,0,0,16,0,0,59.5,51.4,76.5,53.5,54.2,68.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,22,22,11,10,1,0,0,0,11,10,0,0,1,0,0,0,0,0,0,
Claudin Cherelus,52094,LB,CAR,1,0,0,,0,0,5,0,0,60.0,61.0,61.5,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Paulson Adebo,52280,CB,NYG,1,0,0,66.7,0,0,21,0,0,45.4,46.1,71.8,,60.0,75.2,0,0,0,0,15,0.0,0,0,0,92.4,2,0,0,0,10,9,10,0,0,0,0,0,0,10,0,1,0,0,2,0,3,0,0,25,-1,12.5
Ivan Pace Jr.,53587,LB,MIN,1,0,0,,0,0,18,0,0,63.5,68.7,69.1,,65.4,71.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,6,10,1,0,0,1,0,0,9,0,4,1,1,1,1,0,0,0,0,0,
Carrington Valentine,53750,CB,GB,1,0,0,100.0,0,0,12,0,0,39.9,44.8,71.4,,62.9,,0,0,0,0,9,,0,0,0,143.8,1,0,0,4,12,6,16,0,0,0,0,0,0,16,0,10,0,0,0,0,1,0,1,9,11,9.0
Malcolm Koonce,55015,ED,LV,1,1,0,,0,0,23,0,0,63.4,54.6,77.7,68.0,34.1,70.5,0,3,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,3,29,29,0,0,27,2,0,0,22,4,0,0,0,0,0,3,0,0,0,
Boye Mafe,55220,ED,CIN,1,0,0,,0,1,7,1,0,62.9,86.5,76.8,70.0,87.0,36.0,0,3,0,0,,100.0,1,0,0,0.0,0,1,0,0,0,2,37,37,0,0,37,0,0,0,26,9,0,1,0,0,0,4,0,0,0,
Elijah Hicks,55584,S,CHI,1,0,0,,0,0,6,0,0,64.2,65.0,72.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,1,6,9,3,0,0,3,0,2,6,0,3,1,0,0,0,0,0,0,0,0,
A.J. Terrell,55586,CB,ATL,1,1,0,60.0,0,0,2,0,0,46.3,48.8,77.6,,63.9,78.0,0,0,0,0,14,0.0,0,0,2,77.9,3,0,0,4,57,41,62,0,0,0,0,0,0,62,0,21,1,1,3,0,5,0,0,31,5,10.3
