player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Marcus Harris,97937,DI,KC,1,0,2.0,100.0,50.0,1.0,1.0,0,0,0,0.0,16,59.5,57.2,70.4,60.0,60.3,67.3,0,6,0.0,0,0,0,91.7,1,1,2,0,1,1,0,6,4,6.0,6.0
Derick Hall,98130,ED,SEA,1,0,,,10.3,,,0,0,0,,29,61.6,49.6,0.0,55.8,56.8,73.3,0,,,0,0,1,0.0,0,3,29,1,0,0,0,0,0,0.0,
Jordan Magee,98155,LB,WAS,1,0,,,85.7,,,0,0,0,,32,62.6,65.8,70.5,62.2,53.9,73.2,0,,,0,0,0,0.0,0,6,7,0,0,0,0,0,0,0.0,
Derek Stingley Jr.,98253,CB,HST,1,0,18.3,66.7,100.0,8.0,5.3,0,0,0,0.0,13,46.1,57.0,74.6,,84.5,79.0,0,38,0.0,0,0,0,104.9,4,37,37,0,2,6,0,68,9,2.1,17.0
George Karlaftis,98319,ED,KC,1,0,4.0,100.0,3.3,1.0,1.0,0,0,0,0.0,16,35.2,47.2,79.2,50.2,67.5,29.7,0,8,50.0,1,0,0,100.0,1,1,30,0,1,1,0,8,4,8.0,8.0
Kayvon Thibodeaux,98444,ED,NYG,1,0,,,9.5,,,0,0,0,,21,61.4,41.5,76.5,48.2,43.7,72.3,0,,50.0,1,0,0,0.0,0,2,21,0,1,0,0,0,0,0.0,
Cor'Dale Flott,98834,CB,TEN,1,0,20.0,100.0,100.0,13.0,13.0,0,0,0,0.0,31,58.5,61.0,76.7,,65.6,76.7,0,22,0.0,0,0,0,118.8,2,28,28,1,3,2,0,40,0,1.5,20.0
Jaylen McCollough,98845,S,LA,1,0,5.5,100.0,100.0,12.5,12.5,0,0,0,0.0,26,56.5,52.1,80.3,,52.2,81.9,0,9,0.0,0,0,0,100.0,2,26,26,0,1,2,0,16,5,0.6,8.0
Jordan Battle,98857,S,CIN,1,0,5.3,100.0,100.0,9.0,9.0,0,0,0,0.0,7,47.6,39.3,74.3,,39.0,57.3,0,30,0.0,0,0,0,118.8,4,38,38,1,5,4,0,52,31,1.4,13.0
DeMarcco Hellams,98863,S,ATL,1,0,,,100.0,,,0,0,0,,2,60.0,63.6,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Nehemiah Pritchett,98875,CB,SEA,1,1,6.0,60.0,100.0,13.3,8.0,0,0,1,20.0,29,81.3,81.0,77.7,,65.8,54.3,1,14,16.7,1,1,0,33.3,3,42,42,2,4,5,0,25,13,0.6,8.3
Justin Eboigbe,98925,DI,LAC,1,0,,,4.2,,,0,0,0,,27,60.0,50.4,77.6,52.9,53.1,70.5,0,,,0,0,0,0.0,0,1,24,0,0,0,0,0,0,0.0,
Travon Walker,98940,ED,JAX,1,0,,,7.4,,,0,0,0,,15,60.6,69.1,77.8,67.7,59.9,70.8,0,,,0,0,0,0.0,0,2,27,1,0,0,0,0,0,0.0,
Henry To'oTo'o,98982,LB,HST,1,1,9.0,50.0,96.9,27.0,13.5,0,0,0,0.0,13,55.9,59.8,74.5,59.4,66.7,77.6,0,19,0.0,0,0,0,83.3,1,31,32,1,1,2,0,19,0,0.7,19.0
Nolan Smith,99014,ED,PHI,1,0,,,10.7,,,0,0,0,,24,61.4,57.1,78.3,57.7,55.2,72.0,0,,,0,0,0,0.0,0,3,28,0,0,0,0,0,0,0.0,
