player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ryan Flournoy,159617,WR,DAL,1,8.2,1,40.0,0.0,0,1,0,33.3,1,0.39,1,9,0,29.9,64.0,46.0,,47.9,0.0,0,1,17,0.0,0,28,0,61.5,2,92.9,26,67.9,19,14.2,5,0,32.1,9,22,12,6.0,11.0,0.85
Dallas Goedert,47272,TE,PHI,1,11.4,0,80.0,100.0,1,1,0,0.0,0,0.25,3,24,0,72.1,67.0,81.1,74.6,78.2,56.3,18,0,43,12.5,4,32,0,41.9,4,84.4,27,34.4,11,158.3,5,2,9.4,3,77,33,8.3,19.3,2.85
Jahmyr Gibbs,122474,HB,DET,1,-0.6,2,100.0,,0,0,0,0.0,0,-0.06,1,11,1,73.4,32.1,72.8,78.6,52.4,0.0,0,0,11,26.1,6,23,0,52.2,5,73.9,17,13.0,3,91.7,5,0,13.0,3,30,33,6.6,6.0,1.76
Mack Hollins,11873,WR,NE,1,13.4,0,80.0,100.0,1,1,0,0.0,0,-0.17,1,19,0,72.1,67.0,72.9,,69.8,3.8,1,1,19,0.0,0,26,0,48.0,4,96.2,25,26.9,7,69.6,5,0,69.2,18,51,5,1.3,12.8,2.04
David Njoku,11784,TE,LAC,1,5.6,0,100.0,100.0,1,1,1,0.0,0,0.14,3,27,0,73.4,68.0,71.9,82.4,73.4,47.6,10,0,15,14.3,3,21,1,65.0,5,81.0,17,9.5,2,115.0,5,0,33.3,7,58,30,6.0,11.6,3.41
Quentin Johnston,123085,WR,LAC,1,11.0,0,40.0,0.0,0,1,0,0.0,0,-0.19,0,27,0,70.5,65.8,53.1,,59.0,0.0,0,0,9,0.0,0,30,1,48.1,2,90.0,27,16.7,5,49.6,5,0,83.3,25,17,5,2.5,8.5,0.63
Travis Kelce,7844,TE,KC,1,5.8,1,60.0,,0,0,0,0.0,0,-0.1,2,16,0,70.5,65.8,73.8,62.0,71.9,50.0,14,0,59,3.6,1,28,0,44.4,3,92.9,26,35.7,10,104.2,5,0,3.6,1,71,63,21.0,23.7,2.73
Khalil Shakir,84140,WR,BUF,1,3.8,0,80.0,,0,0,0,0.0,0,0.82,2,4,0,73.4,68.0,74.3,69.6,73.6,20.8,5,0,19,4.2,1,24,0,47.6,4,83.3,20,50.0,12,108.3,5,0,29.2,7,50,31,7.8,12.5,2.5
Tyler Warren,129798,TE,IND,1,4.8,0,60.0,0.0,0,1,1,0.0,0,-0.37,1,14,0,70.5,65.8,55.2,20.2,57.5,32.4,11,0,9,8.8,3,34,1,33.3,3,88.2,30,50.0,17,104.2,5,1,17.6,6,13,7,2.3,4.3,0.43
Dontayvion Wicks,99711,WR,PHI,1,21.8,0,50.0,0.0,0,1,0,0.0,0,0.15,2,24,0,68.3,64.0,62.1,,65.1,0.0,0,0,64,0.0,0,32,0,35.5,2,96.9,31,34.4,11,135.4,4,1,65.6,21,73,21,10.5,36.5,2.35
