player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Joe Walker,10885,LB,ARZ,2,2,2.0,2.0,1,0,91.7,1,1,0,6,0,3.0
Trayvon Mullen,41968,CB,LV,2,2,2.0,2.0,23,0,118.8,1,1,0,15,4,7.5
Brandon Copeland,8378,ED,ATL,5,4,2.0,2.0,2,0,95.8,2,2,0,14,24,3.5
D.J. Hayden,7793,CB,WAS,1,2,2.0,2.0,32,0,118.8,1,1,0,61,57,30.5
Preston Smith,9471,ED,GB,5,6,2.0,2.0,12,0,109.7,3,3,0,31,18,5.17
Nick Niemann,43500,LB,LAC,1,2,2.0,1.0,27,1,20.8,1,2,0,8,2,4.0
Anthony Levine,6013,S,BLT,1,4,2.0,2.0,3,0,102.1,2,2,0,17,15,4.25
Christian Jones,9020,LB,CHI,2,2,2.0,2.0,6,0,87.5,1,1,0,5,9,2.5
Nahshon Wright,100412,CB,DAL,1,2,2.0,2.0,9,0,118.8,1,1,0,22,4,11.0
Rasheem Green,48731,ED,SEA,2,2,2.0,2.0,29,0,118.8,1,1,0,14,9,7.0
Trey Flowers,9534,ED,DET,1,3,1.5,1.5,11,0,104.2,2,2,0,18,23,6.0
Trevis Gipson,35241,ED,CHI,4,3,1.5,1.5,6,0,118.8,2,2,0,32,23,10.67
Mark Webb Jr.,61274,S,LAC,1,3,1.5,1.5,27,0,118.8,2,2,0,35,3,11.67
Tyree Gillespie,60692,S,LV,1,1,1.0,1.0,23,0,79.2,1,1,0,3,7,3.0
Dorian O'Daniel,51487,LB,KC,1,1,1.0,1.0,16,0,79.2,1,1,0,3,0,3.0
Michael Ojemudia,50327,CB,DEN,1,1,1.0,1.0,10,0,95.8,1,1,0,7,4,7.0
Rashan Gary,42905,ED,GB,2,1,1.0,1.0,12,0,108.3,1,1,0,10,6,10.0
Shaka Toney,42806,ED,WAS,1,1,1.0,1.0,32,0,116.7,1,1,0,12,6,12.0
Danny Trevathan,7177,LB,CHI,1,1,1.0,1.0,6,0,95.8,1,1,0,7,2,7.0
Jeff Okudah,55674,CB,DET,1,1,1.0,1.0,11,0,95.8,1,1,0,7,2,7.0
