player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Kalif Raymond,11028,WR,DET,16,0,11,68.3,0,0,2,0.4,0.4,100.0,0,0,0,2,497,,0,0,0,0.0,0.0,,0,0,0,265
Jermar Jefferson,83740,HB,DET,5,0,11,30.9,0,0,2,11.8,11.1,100.0,0,0,0,2,18,,0,0,0,0.0,0.0,,0,0,0,12
Ryan Nall,45753,HB,CHI,4,0,6,76.9,0,0,2,16.7,16.7,100.0,0,0,0,2,12,76.9,0,0,2,25.0,25.0,100.0,0,0,2,8
Ethan Wolf,47173,TE,NO,1,0,20,70.5,0,0,2,28.6,28.6,100.0,0,0,0,2,7,68.7,0,0,1,100.0,100.0,100.0,0,0,1,1
Derrick Barnes,58120,LB,DET,2,0,11,88.3,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Michael Hoecht,108840,DI,LA,2,0,26,95.1,0,0,0,,100.0,,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Denzel Mims,47800,WR,NYJ,11,0,22,72.3,0,0,2,1.1,1.0,100.0,1,0,0,2,199,,0,0,0,0.0,0.0,,0,0,0,96
Wendell Smallwood,10787,HB,WAS,2,0,32,45.1,0,0,1,6.7,12.5,100.0,0,0,0,2,16,45.1,0,0,1,9.1,16.7,100.0,0,0,2,12
Juwan Johnson,28305,TE,NO,14,0,20,70.7,0,0,2,1.2,1.2,100.0,0,0,0,2,171,70.2,0,0,1,1.1,1.0,100.0,0,0,1,98
Parker Ehinger,10739,G,DET,1,0,11,71.0,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
