player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Nate Hobbs,55948,CB,GB,11,64,16.0,12.8,12,0,115.8,4,5,0,59,26,0.92
Jack Jones,29050,CB,MIA,12,16,16.0,16.0,17,0,122.9,1,1,1,4,0,0.25
Jaylon Johnson,56259,CB,CHI,5,16,16.0,16.0,6,0,118.8,1,1,0,13,4,0.81
Calen Bullock,146424,S,HST,19,63,15.8,7.9,13,0,112.5,4,8,2,56,22,0.89
Ja'Sir Taylor,55426,CB,NYJ,3,31,15.5,10.3,22,0,111.1,2,3,1,10,13,0.32
Brian Branch,123907,S,DET,12,92,15.3,8.4,11,0,109.3,6,11,1,83,27,0.9
Tyler Owens,99271,S,WAS,2,15,15.0,15.0,32,0,118.8,1,1,0,18,16,1.2
Carlton Davis III,49335,CB,NE,16,29,14.5,9.7,19,0,126.4,2,3,1,21,2,0.72
Mike Hilton,10898,CB,IND,2,29,14.5,9.7,14,0,70.1,2,3,0,7,1,0.24
Kendall Sheffield,34105,CB,MIA,2,14,14.0,14.0,17,0,91.7,1,1,0,6,3,0.43
Derrick Barnes,58120,LB,DET,17,69,13.8,11.5,11,0,100.7,5,6,0,49,39,0.71
Cole Bishop,146454,S,BUF,18,95,13.6,7.3,4,1,39.9,7,13,0,78,41,0.82
Ji'Ayir Brown,129767,S,SF,17,54,13.5,4.5,28,0,74.7,4,12,1,49,39,0.91
Isaiah Pola-Mao,60781,S,LV,16,54,13.5,9.0,23,0,75.7,4,6,0,26,6,0.48
Kyler Gordon,83451,CB,CHI,5,94,13.4,6.3,6,0,89.9,7,15,1,96,18,1.02
Minkah Fitzpatrick,51206,S,MIA,14,200,13.3,11.1,17,0,118.8,15,18,1,145,112,0.73
Jalen Davis,50431,CB,CIN,7,120,13.3,9.2,7,1,55.6,9,13,0,87,49,0.73
Kyle Hamilton,102684,S,BLT,16,197,13.1,9.4,3,0,84.0,15,21,0,113,87,0.57
Nakobe Dean,99018,LB,PHI,7,13,13.0,13.0,24,0,83.3,1,1,0,4,8,0.31
