player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Luke Tenuta,77367,T,IND,2,0,14,53.0,100.0,9,64.3,9,43.1,0,100.0,14,14,43.3,100.0,5,35.7,5
Myles Price,123155,WR,MIN,4,0,18,60.0,100.0,3,21.4,3,60.9,0,100.0,14,14,59.1,100.0,5,35.7,5
Tay Martin,61811,WR,WAS,3,0,32,60.0,100.0,9,64.3,9,60.0,0,100.0,14,14,60.0,100.0,5,35.7,5
Braxton Berrios,47961,WR,HST,4,0,13,60.2,100.0,8,57.1,8,31.4,0,100.0,14,14,50.1,100.0,6,42.9,6
Theo Wease Jr.,98005,WR,MIA,3,0,17,56.7,100.0,5,35.7,5,74.7,0,100.0,14,14,59.8,100.0,5,35.7,5
Dylan Sampson,163772,HB,CLV,15,0,8,40.6,10.7,3,21.4,28,31.2,0,18.2,14,77,59.6,5.1,2,14.3,39
DJ Giddens,144595,HB,IND,8,0,14,,0.0,0,0.0,15,60.0,0,34.1,14,41,,0.0,0,0.0,12
Chuba Hubbard,57373,HB,CAR,16,0,5,59.4,4.0,2,14.3,50,57.4,0,8.5,14,165,57.6,4.9,5,35.7,102
Keaton Mitchell,123826,HB,BLT,12,0,3,58.8,10.3,3,23.1,29,59.2,0,17.3,13,75,60.0,8.6,3,23.1,35
Tyjae Spears,97195,HB,TEN,13,0,31,60.0,6.1,2,15.4,33,35.1,0,15.1,13,86,59.4,18.4,9,69.2,49
Malik Davis,57196,HB,DAL,9,0,9,60.0,5.9,1,7.7,17,59.4,0,19.7,13,66,,0.0,0,0.0,36
Ricky White,129639,WR,SEA,2,0,29,60.0,100.0,1,7.7,1,57.7,0,100.0,13,13,58.5,100.0,9,69.2,9
Tank Bigsby,123974,HB,PHI,12,0,24,60.0,2.9,1,7.7,35,60.8,0,16.0,13,81,60.0,8.8,3,23.1,34
Feleipe Franks,40217,TE,ATL,7,0,2,60.0,100.0,2,15.4,2,60.9,0,86.7,13,15,59.3,100.0,2,15.4,2
Kendre Miller,123091,HB,NO,7,0,20,50.1,30.0,6,46.2,20,51.7,0,22.0,13,59,60.0,3.1,1,7.7,32
Jaleel McLaughlin,138346,HB,DEN,10,0,10,,0.0,0,0.0,19,59.9,0,22.0,13,59,60.0,7.1,2,15.4,28
Jared Wiley,98508,TE,KC,4,0,16,55.2,100.0,5,38.5,5,63.0,0,100.0,13,13,58.6,100.0,8,61.5,8
Teddy Bridgewater,8667,QB,TB,4,0,30,60.0,100.0,3,23.1,3,60.0,0,86.7,13,15,60.0,100.0,10,76.9,10
David Montgomery,45719,HB,DET,17,0,11,60.0,1.7,1,8.3,58,58.9,0,6.9,12,175,59.2,3.7,4,33.3,109
Jackson Slater,147796,G,TEN,1,0,31,57.0,100.0,8,66.7,8,56.0,0,100.0,12,12,58.0,100.0,4,33.3,4
Britain Covey,32933,WR,PHI,3,0,24,60.0,100.0,3,25.0,3,60.5,0,100.0,12,12,60.6,100.0,8,66.7,8
