year,week,player,pos,base_proj,var_proj,actual,var_error,perstat_shift,abs_error
2024,8,Joe Mixon,RB,14.18,14.0,23.4,-9.4,-0.18,9.4
2024,15,Sam LaPorta,TE,9.38,8.71,18.1,-9.39,-0.67,9.39
2024,13,George Kittle,TE,11.09,11.09,1.7,9.39,0.0,9.39
2024,6,Mike Evans,WR,14.96,14.77,5.4,9.37,-0.19,9.37
2024,9,Rico Dowdle,RB,12.43,12.34,21.7,-9.36,-0.09,9.36
2025,14,DJ Moore,WR,9.77,9.96,0.6,9.36,0.19,9.36
2024,13,Jonnu Smith,TE,11.85,11.94,21.3,-9.36,0.09,9.36
2024,14,George Kittle,TE,11.75,11.75,21.1,-9.35,0.0,9.35
2025,15,D'Andre Swift,RB,13.26,13.26,22.6,-9.34,0.0,9.34
2025,12,Alec Pierce,WR,13.04,12.94,3.6,9.34,-0.1,9.34
2024,10,Breece Hall,RB,21.83,21.64,12.3,9.34,-0.19,9.34
2024,13,Mark Andrews,TE,10.14,9.57,18.9,-9.33,-0.57,9.33
2024,18,Amon-Ra St. Brown,WR,24.67,23.03,13.7,9.33,-1.64,9.33
2024,12,Jalen Hurts,QB,25.12,24.38,15.06,9.32,-0.74,9.32
2024,6,Keenan Allen,WR,11.69,11.79,21.1,-9.31,0.1,9.31
2024,18,Tee Higgins,WR,19.09,18.61,9.3,9.31,-0.48,9.31
2024,6,Tucker Kraft,TE,12.99,12.8,3.5,9.3,-0.19,9.3
2024,5,Isaiah Likely,TE,7.57,7.0,16.3,-9.3,-0.57,9.3
2024,7,Mark Andrews,TE,11.47,10.8,20.1,-9.3,-0.67,9.3
2024,11,Kendrick Bourne,WR,8.33,8.71,18.0,-9.29,0.38,9.29
2024,17,C.J. Stroud,QB,15.24,15.39,6.1,9.29,0.15,9.29
2024,6,Kenneth Walker III,RB,11.7,11.61,20.9,-9.29,-0.09,9.29
2025,5,Alvin Kamara,RB,18.61,18.79,9.5,9.29,0.18,9.29
